"gene","tau","log_fc_est","sd_est","Z_est","p_cross","ct_prop","expr","q_val","p","cell_type"
"DNAJA2",0,-0.418600875143992,0.122481901449961,-3.41765493667658,0.349398519641953,0.705593560312958,0.000136782297452137,0.044129346096035,0.000631631315623659,"ExDp1_SP"
"WDR26",0,-0.416702403256844,0.123122586950446,-3.38445133080705,0.956248448994232,0.553312861343329,4.24035148578465e-05,0.0476931453754951,0.000713206617450258,"ExDp1_SP"
"UBQLN2",0.00273235540315177,-0.413239736893661,0.123884974830238,-3.33567276790369,0.303636701796522,0.806268292375881,5.9946169291199e-05,0.0553224384455451,0.000850932614415562,"ExDp1_SP"
"MFSD10",0,0.411611090108305,0.111422609597168,3.69414333048222,0.243184076459371,0.840046885184051,3.13113665159799e-05,0.0240178119896433,0.000220629334662393,"ExDp1_SP"
"GIGYF1",0.0823994159127574,0.404000840661946,0.116265050061163,3.4748261876584,0.336947897314169,0.506210210761644,1.58988583178991e-05,0.0398809071612514,0.000511184454107047,"ExDp1_SP"
"GNPAT",0,-2.01168339899256,0.467167830653165,-4.3061256940144,0.577322905955454,0.702791073699048,3.98126357825877e-05,0.0076589930334413,1.66138677514996e-05,"ExDp2_SP"
"IRF2BP2",0,-1.85943131988354,0.232213360590726,-8.00742608071019,0.619902616286531,0.816498059000205,8.63168491159067e-05,3.77991761707804e-12,1.17134106510011e-15,"ExDp2_SP"
"CACNG3",0,-1.76487255468751,0.329773846891378,-5.35176628263317,0.812970456257823,1,5.49519775053222e-05,9.36904037077105e-05,8.70998485042242e-08,"ExDp2_SP"
"ST3GAL5",0.00121009220395942,-1.63171852418352,0.278715410094898,-5.85442521325944,0.398801012775254,1,0.000111420811914567,7.72322008254967e-06,4.78662539978287e-09,"ExDp2_SP"
"SGTB",0,-1.51800032780829,0.349063774596272,-4.34877646517178,0.524681044585471,1,8.96527833927364e-05,0.00736289324633676,1.36899161692038e-05,"ExDp2_SP"
