"gene","tau","log_fc_est","sd_est","Z_est","p_cross","ct_prop","expr","q_val","p","cell_type","cell_type_long"
"KRBA2",0.209766940132624,0.707304350265124,0.226684044314297,3.12022115365318,0.0302145500613547,0.710191385279262,8.20049335705579e-06,0.0531236282990572,0.00180715306713664,"ExN","Newly born excit. (ExN)"
"UBE2G2",0.256083103935413,0.705063104491259,0.210294334669879,3.35274416972797,0.000636502699003335,0.621288029592049,0.000104863636073307,0.0272322516039709,0.000800146290867926,"ExN","Newly born excit. (ExN)"
"UBQLN1",0.000438588697729232,-0.695967137950308,0.0719441712505183,-9.67371123821645,0.285216009193967,0.721734951046588,0.000107640891309767,1.16797181805955e-18,3.8997389584626e-22,"ExN","Newly born excit. (ExN)"
"CDH24",0.241960491141237,0.685544376099208,0.199179709122004,3.44183842380898,5.56607000791933e-14,0.622408994988508,5.29655197721537e-06,0.0221144283073698,0.000577775247098222,"ExN","Newly born excit. (ExN)"
"SSR4",0.167213367587759,-0.673474377007512,0.144454169029133,-4.66220103949847,0.00187218979631976,0.633703834823243,0.000140082436870093,0.000408565755823153,3.12845355959079e-06,"ExN","Newly born excit. (ExN)"
"ZNF69",0.152241071241105,0.659984520997021,0.189869006481779,3.47599923350501,0.0408275963530615,0.575475100562532,2.89215615704967e-05,0.0208960702459028,0.000508953740670721,"ExN","Newly born excit. (ExN)"
"COX7C",0.183659684690014,-0.656885178435138,0.139543768781658,-4.7073773638933,3.39355389815475e-08,0.838043715323768,0.000654507945156538,0.000408565755823153,2.5092414319205e-06,"ExN","Newly born excit. (ExN)"
"SMDT1",0.138704157133288,-0.654076657921064,0.120671998391349,-5.42028529104025,0.000259175515642002,0.927873314143995,0.000146472724221792,1.52721298201994e-05,5.95039993984017e-08,"ExN","Newly born excit. (ExN)"
"HMGN1",0.227509110806022,0.630177144959938,0.175112726624234,3.59869415038122,2.20080986399714e-11,0.695435472623606,0.000544942632965397,0.0153085978691218,0.000319819045946713,"ExN","Newly born excit. (ExN)"
"ANKRD27",0,0.600906377584673,0.128425117147698,4.67904091450887,0.584235519915896,0.574987456033749,1.13713622404123e-05,0.000408565755823153,2.88219930311682e-06,"ExN","Newly born excit. (ExN)"
"POLR2K",0.172141762926737,-0.598444889076623,0.16865743758647,-3.54828638238858,0.0383427632722147,0.597787340834233,7.31610835095392e-05,0.0163563437338563,0.000387746378999598,"ExN","Newly born excit. (ExN)"
"UBA52",0.204979236808344,-0.594936429071794,0.149076352757135,-3.99081690736709,1.93587478184827e-43,0.639510476493597,0.000516067173971472,0.00448202430039035,6.58460999055677e-05,"ExN","Newly born excit. (ExN)"
"LNX1",0,-0.593254056267133,0.0964933142756012,-6.14813638354984,0.324559280155383,0.646878359995232,6.46662444840499e-05,4.69607677443446e-07,7.83986105915602e-10,"ExN","Newly born excit. (ExN)"
"DDX56",0.179501085849741,0.590453870670222,0.192651531507115,3.06488023246478,0.0684472336511083,0.644970465451256,3.93062632100669e-05,0.0592893411553688,0.00217757179535578,"ExN","Newly born excit. (ExN)"
"HIST1H2BG",0.154223840818466,0.58727533725973,0.202614388463325,2.89848782070101,0.128419449602955,0.612598333147102,1.4848202305162e-05,0.083764494631364,0.00374966871781705,"ExN","Newly born excit. (ExN)"
"ACAP3",0.16557655890302,0.587209745060539,0.12880779982713,4.55880580095785,4.88348796570036e-08,0.501594046836308,3.80600060236363e-05,0.00057689735622526,5.14453143413286e-06,"ExN","Newly born excit. (ExN)"
"PLK2",0.000332063151369632,-0.583702037066829,0.170732070116838,-3.41881895221782,0.1359483585896,0.833921663313456,0.000329588851056725,0.023255087465477,0.000628935587547125,"ExN","Newly born excit. (ExN)"
"MICAL1",0.15371615044439,0.570588610120549,0.122206205222848,4.66906413696469,1.67098544817291e-08,0.701872076823137,7.34205982744845e-05,0.000408565755823153,3.0257491445705e-06,"ExN","Newly born excit. (ExN)"
"KDM6A",0,0.568359468944492,0.163728934849561,3.47134408140332,0.86511682207649,0.582362856104073,2.81396216263173e-05,0.0209593326255381,0.000517859971382244,"ExN","Newly born excit. (ExN)"
"KIAA0232",0.0881776409682805,0.564295450453534,0.123843443283398,4.55652261833698,0.23748425031686,0.831620820831533,0.000179782231074947,0.00057689735622526,5.20074411288214e-06,"ExN","Newly born excit. (ExN)"
